gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,StreamingServices,TenureGroup,ContractRisk,PaymentType,InternetType,HighValueCustomer,EngagementLevel
Male,No,No,No,25,Yes,No,Fiber optic,Secure,No Backup,Protected,Support Available,Month-to-month,Yes,Electronic check,105.5,2686.05,Retained,107.44200000000001,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,Two year,No,Credit card (automatic),113.25,7895.15,Retained,114.42246376811593,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,Retained,19.672115384615385,No Streaming,4+ Years,Medium Risk,Manual,No Internet,No,Low
Male,No,No,Yes,71,Yes,Yes,Fiber optic,Secure,No Backup,Protected,No Support,Two year,No,Bank transfer (automatic),106.7,7382.25,Retained,103.97535211267606,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,Yes,10,Yes,No,DSL,Not Secure,No Backup,Protected,Support Available,Month-to-month,No,Credit card (automatic),55.2,528.35,Churned,52.835,No Streaming,0-1 Year,High Risk,Auto,Medium Speed,No,Low
Female,No,No,No,21,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Electronic check,90.05,1862.9,Retained,88.70952380952382,Movies Only,1-2 Years,High Risk,Manual,High Speed,Yes,Low
Male,Yes,No,No,1,No,No,DSL,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,39.65,39.65,Churned,39.65,Movies Only,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,Retained,16.854166666666668,No Streaming,0-1 Year,Medium Risk,Auto,No Internet,No,Low
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Churned,20.15,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Female,No,Yes,No,58,Yes,Yes,DSL,Not Secure,Backup Enabled,Not Protected,Support Available,Two year,Yes,Credit card (automatic),59.9,3505.1,Retained,60.432758620689654,No Streaming,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Male,No,Yes,Yes,49,Yes,No,DSL,Secure,Backup Enabled,Not Protected,Support Available,Month-to-month,No,Credit card (automatic),59.6,2970.3,Retained,60.61836734693878,No Streaming,4+ Years,High Risk,Auto,Medium Speed,No,Low
Female,No,No,No,30,Yes,No,DSL,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Retained,51.019999999999996,No Streaming,2-4 Years,High Risk,Auto,Medium Speed,No,Low
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,99.35,4749.15,Churned,101.04574468085106,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,1,No,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,No,Electronic check,30.2,30.2,Churned,30.2,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,No,72,Yes,Yes,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Credit card (automatic),90.25,6369.45,Retained,88.46458333333334,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,No,Yes,17,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Mailed check,64.7,1093.1,Churned,64.3,TV + Movies,1-2 Years,High Risk,Manual,Medium Speed,No,Medium
Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Credit card (automatic),96.35,6766.95,Retained,95.30915492957746,No Streaming,4+ Years,Low Risk,Auto,High Speed,Yes,Low
Male,Yes,Yes,No,2,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Retained,90.825,TV + Movies,0-1 Year,High Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,Yes,27,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,One year,No,Mailed check,66.15,1874.45,Retained,69.42407407407407,No Streaming,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Retained,20.2,No Streaming,0-1 Year,High Risk,Auto,No Internet,No,Low
Male,Yes,No,No,1,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Retained,45.25,No Streaming,0-1 Year,High Risk,Auto,Medium Speed,No,Low
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Secure,Backup Enabled,Not Protected,Support Available,Two year,No,Bank transfer (automatic),99.9,7251.7,Retained,100.71805555555555,TV Only,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,5,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,69.7,316.9,Churned,63.379999999999995,No Streaming,0-1 Year,High Risk,Manual,High Speed,No,Low
Female,No,No,No,46,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Retained,77.13695652173914,No Streaming,2-4 Years,High Risk,Auto,High Speed,Yes,Low
Male,No,No,No,34,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Electronic check,106.35,3549.25,Churned,104.38970588235294,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,11,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Churned,100.4909090909091,TV + Movies,0-1 Year,High Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,Yes,10,Yes,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,One year,No,Mailed check,49.55,475.7,Retained,47.57,No Streaming,0-1 Year,Medium Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,70,Yes,Yes,DSL,Secure,Backup Enabled,Not Protected,No Support,Two year,Yes,Credit card (automatic),69.2,4872.35,Retained,69.605,TV Only,4+ Years,Low Risk,Auto,Medium Speed,No,Medium
Female,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,Retained,24.602941176470587,No Streaming,1-2 Years,Medium Risk,Manual,No Internet,No,Low
Female,No,No,No,63,Yes,Yes,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Credit card (automatic),79.85,4861.45,Retained,77.16587301587302,TV Only,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,Yes,No,13,Yes,Yes,DSL,Secure,Backup Enabled,Not Protected,Support Available,Month-to-month,Yes,Electronic check,76.2,981.45,Retained,75.49615384615385,TV Only,1-2 Years,High Risk,Manual,Medium Speed,Yes,Medium
Female,No,No,No,49,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,84.5,3906.7,Retained,79.72857142857143,Movies Only,4+ Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,2,Yes,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,No,Mailed check,49.25,97.0,Retained,48.5,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,No,No,2,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,80.65,144.15,Churned,72.075,TV Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,No,No,52,Yes,Yes,DSL,Secure,No Backup,Not Protected,Support Available,Two year,Yes,Credit card (automatic),79.75,4217.8,Retained,81.11153846153846,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,Yes,Yes,69,Yes,Yes,DSL,Secure,No Backup,Protected,Support Available,Two year,Yes,Credit card (automatic),64.15,4254.1,Retained,61.6536231884058,No Streaming,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Female,Yes,No,No,43,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,90.25,3838.75,Retained,89.27325581395348,TV Only,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,15,Yes,No,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Churned,95.09333333333333,TV + Movies,1-2 Years,High Risk,Auto,High Speed,Yes,Medium
Female,Yes,Yes,No,25,Yes,Yes,DSL,Secure,No Backup,Not Protected,Support Available,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Retained,70.10600000000001,TV Only,2-4 Years,High Risk,Auto,Medium Speed,No,Medium
Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Churned,79.1625,No Streaming,0-1 Year,High Risk,Auto,High Speed,Yes,Low
Female,Yes,Yes,Yes,60,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,One year,Yes,Credit card (automatic),74.85,4456.35,Retained,74.27250000000001,Movies Only,4+ Years,Medium Risk,Auto,Medium Speed,Yes,Low
Male,Yes,No,No,18,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,95.45,1752.55,Churned,97.36388888888888,TV + Movies,1-2 Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Secure,No Backup,Not Protected,No Support,One year,Yes,Credit card (automatic),99.65,6311.2,Retained,100.17777777777778,TV + Movies,4+ Years,Medium Risk,Auto,High Speed,Yes,Medium
Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,Support Available,One year,Yes,Electronic check,108.45,7076.35,Retained,107.21742424242424,TV + Movies,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,Retained,26.302941176470586,No Streaming,2-4 Years,Low Risk,Auto,No Internet,No,Low
Female,No,No,No,72,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,Support Available,Two year,Yes,Credit card (automatic),107.5,7853.7,Retained,109.07916666666667,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,No,47,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,100.5,4707.1,Retained,100.15106382978725,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,60,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Retained,90.845,TV Only,4+ Years,High Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,No,72,No,No,DSL,Secure,Backup Enabled,Protected,No Support,Two year,No,Bank transfer (automatic),42.1,2962.0,Retained,41.138888888888886,No Streaming,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Female,No,Yes,Yes,18,Yes,No,DSL,Not Secure,No Backup,Protected,Support Available,One year,Yes,Credit card (automatic),54.4,957.1,Retained,53.172222222222224,No Streaming,1-2 Years,Medium Risk,Auto,Medium Speed,No,Low
Female,No,No,No,9,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,94.4,857.25,Churned,95.25,TV + Movies,0-1 Year,High Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,3,Yes,No,DSL,Not Secure,Backup Enabled,Not Protected,Support Available,Month-to-month,Yes,Electronic check,75.3,244.1,Retained,81.36666666666666,TV + Movies,0-1 Year,High Risk,Manual,Medium Speed,Yes,Medium
Male,No,Yes,No,47,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,One year,Yes,Electronic check,78.9,3650.35,Retained,77.66702127659575,No Streaming,2-4 Years,Medium Risk,Manual,High Speed,Yes,Low
Female,No,No,No,31,Yes,No,DSL,Not Secure,Backup Enabled,Protected,Support Available,Two year,No,Mailed check,79.2,2497.2,Retained,80.55483870967741,TV + Movies,2-4 Years,Low Risk,Manual,Medium Speed,Yes,Medium
Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,Retained,18.618,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Male,No,No,No,10,Yes,No,Fiber optic,Secure,No Backup,Protected,No Support,Month-to-month,Yes,Mailed check,79.85,887.35,Retained,88.735,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,No,No,1,Yes,No,DSL,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,No,Mailed check,49.05,49.05,Retained,49.05,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,Retained,20.974038461538463,No Streaming,4+ Years,Medium Risk,Manual,No Internet,No,Low
Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Secure,No Backup,Protected,Support Available,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Retained,110.921875,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Retained,22.97741935483871,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Female,No,No,Yes,3,Yes,No,DSL,Secure,No Backup,Not Protected,Support Available,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Retained,59.13333333333333,Movies Only,0-1 Year,High Risk,Auto,Medium Speed,No,Low
Female,Yes,No,No,56,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,No Support,One year,No,Electronic check,110.5,6139.5,Retained,109.63392857142857,TV + Movies,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,46,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,One year,No,Credit card (automatic),55.65,2688.85,Retained,58.45326086956521,Movies Only,2-4 Years,Medium Risk,Auto,Medium Speed,No,Low
Female,No,Yes,Yes,8,Yes,No,DSL,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,No,Mailed check,54.65,482.25,Retained,60.28125,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,Yes,No,No,30,Yes,No,DSL,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,74.75,2111.3,Retained,70.37666666666668,TV + Movies,2-4 Years,High Risk,Manual,Medium Speed,Yes,Medium
Female,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,Retained,27.035555555555554,No Streaming,2-4 Years,Medium Risk,Auto,No Internet,No,Low
Female,No,No,Yes,1,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,79.35,79.35,Churned,79.35,TV Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,Yes,Yes,11,No,No,DSL,Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,50.55,565.35,Retained,51.39545454545455,TV + Movies,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,No,7,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Churned,70.98571428571428,No Streaming,0-1 Year,High Risk,Auto,High Speed,Yes,Low
Female,No,No,No,42,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,Support Available,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Retained,103.03571428571429,TV + Movies,2-4 Years,High Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,Retained,19.864285714285714,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Male,No,No,No,9,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Retained,102.08333333333333,TV + Movies,0-1 Year,High Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,No,35,Yes,No,DSL,Secure,No Backup,Not Protected,No Support,One year,Yes,Bank transfer (automatic),62.15,2215.45,Retained,63.29857142857142,TV Only,2-4 Years,Medium Risk,Auto,Medium Speed,No,Low
Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,Retained,22.020833333333332,No Streaming,2-4 Years,Low Risk,Auto,No Internet,No,Low
Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,Retained,20.15434782608696,No Streaming,2-4 Years,Low Risk,Manual,No Internet,No,Low
Male,No,Yes,No,29,No,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Mailed check,33.75,1009.25,Retained,34.80172413793103,TV Only,2-4 Years,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,30,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Retained,85.67333333333333,No Streaming,2-4 Years,High Risk,Auto,High Speed,Yes,Low
Male,Yes,No,No,1,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,No,Electronic check,74.7,74.7,Retained,74.7,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,Yes,66,Yes,Yes,DSL,Secure,No Backup,Protected,Support Available,Two year,Yes,Mailed check,84.0,5714.25,Retained,86.57954545454545,TV + Movies,4+ Years,Low Risk,Manual,Medium Speed,Yes,Medium
Female,No,No,No,65,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Retained,109.33846153846154,TV + Movies,4+ Years,High Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,72,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Retained,103.59791666666666,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Female,No,No,No,12,Yes,Yes,Fiber optic,Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,78.95,927.35,Churned,77.27916666666667,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,Yes,71,Yes,Yes,DSL,Secure,Backup Enabled,Not Protected,Support Available,One year,Yes,Credit card (automatic),66.85,4748.7,Retained,66.8830985915493,No Streaming,4+ Years,Medium Risk,Auto,Medium Speed,No,Low
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Churned,22.77,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Male,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,Retained,21.292307692307695,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Female,Yes,Yes,No,25,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Electronic check,98.5,2514.5,Churned,100.58,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,Retained,20.2,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,Retained,19.45,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Male,No,No,No,38,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,Support Available,One year,No,Bank transfer (automatic),95.0,3605.6,Retained,94.88421052631578,TV Only,2-4 Years,Medium Risk,Auto,High Speed,Yes,Medium
Female,Yes,Yes,No,66,No,No,DSL,Not Secure,Backup Enabled,Protected,No Support,One year,No,Bank transfer (automatic),45.55,3027.25,Retained,45.86742424242424,TV Only,4+ Years,Medium Risk,Auto,Medium Speed,No,Low
Male,No,Yes,No,68,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Churned,111.93897058823529,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,5,No,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Mailed check,24.3,100.2,Retained,20.04,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,One year,Yes,Electronic check,104.15,7303.05,Retained,101.43125,TV + Movies,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,32,No,No,DSL,Secure,No Backup,Not Protected,No Support,One year,No,Mailed check,30.15,927.65,Retained,28.9890625,No Streaming,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,No,No,43,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,One year,No,Mailed check,94.35,3921.3,Retained,91.19302325581396,TV + Movies,2-4 Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,Retained,18.93402777777778,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Male,No,Yes,No,55,Yes,Yes,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,96.75,5238.9,Churned,95.25272727272727,TV Only,4+ Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,52,Yes,No,DSL,Secure,No Backup,Protected,Support Available,One year,No,Credit card (automatic),57.95,3042.25,Retained,58.50480769230769,No Streaming,4+ Years,Medium Risk,Auto,Medium Speed,No,Low
Female,No,No,No,43,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Electronic check,91.65,3954.1,Retained,91.95581395348837,TV Only,2-4 Years,High Risk,Manual,High Speed,Yes,Low
Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,76.5,2868.15,Churned,77.51756756756757,No Streaming,2-4 Years,High Risk,Manual,High Speed,Yes,Low
Female,No,Yes,Yes,64,No,No,DSL,Not Secure,Backup Enabled,Not Protected,Support Available,Two year,Yes,Electronic check,54.6,3423.5,Retained,53.4921875,TV + Movies,4+ Years,Low Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,3,Yes,No,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,No,Electronic check,89.85,248.4,Retained,82.8,TV Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,No,No,36,No,No,DSL,Secure,No Backup,Not Protected,No Support,Two year,No,Bank transfer (automatic),31.05,1126.35,Retained,31.287499999999998,No Streaming,2-4 Years,Low Risk,Auto,Medium Speed,No,Low
